slug,category,title,description,prompt
visa,Visa,Student Visa Guide for Korea (D-2 and D-4),Step-by-step visa guide for language study and degree programs in Korea.,"Write a step-by-step guide for Korea student visas D-2 and D-4: COE/acceptance, documents, embassy application, and timeline."
cost,Budget,1-Year Study Cost in Seoul,Realistic budget for tuition and living in Seoul.,"Write a realistic 1-year study cost breakdown in Seoul: tuition, housing (dorm/goshiwon/apartment), food, transport, insurance."
housing,Housing,Student Housing in Korea: Dorm Goshiwon vs Apartment,Compare housing options for international students.,"Compare dormitory, goshiwon, and private apartment for students in Korea with a comparison table."
school-choice,Selection,How to Choose a Korean Language Institute,Criteria for picking a language school in Korea.,"Explain 5 criteria for choosing a Korean language institute: goals, location, class size, TOPIK track, and cost."
scholarship,Budget,Scholarships for International Students in Korea,Overview of major scholarship programs.,"Detail GKS, university scholarships, and language-school discounts for international students in Korea."
arrival,Preparation,First Week in Korea: Essential Checklist,What to do after arrival.,"Create a first-week checklist: ARC registration, SIM, bank account, T-money, and campus orientation."
part-time,Part-time,Part-time Work Rules for Students in Korea,Work hour limits and common jobs.,"Explain part-time work rules (20-25 hours), common student jobs, and visa restrictions in Korea."
insurance,Insurance,National Health Insurance for Students in Korea,NHI registration and costs.,"Explain National Health Insurance for foreign students, enrollment, premiums, and clinic usage."
bank,Settlement,Opening a Bank Account in Korea as a Student,Banking options for newcomers.,"Compare opening accounts at major Korean banks for international students with required documents."
mobile,Settlement,Best SIM Cards and Mobile Plans for Students,Mobile options for short and long stays.,"Compare prepaid SIM, eSIM, and carrier plans for students in Korea."
seoul-region,Region,Studying in Seoul vs Busan: Which City Fits You?,City comparison for students.,"Compare Seoul vs Busan for study abroad: cost, climate, universities, and lifestyle."
topik,Exam,TOPIK Exam Guide: Levels Schedule and Study Tips,TOPIK preparation overview.,"Explain TOPIK levels I and II, exam schedule, scoring, and study strategies for university admission."
gks-guide,Budget,GKS (KGSP) Scholarship Guide for Korea,Complete guide to Global Korea Scholarship.,"Write a detailed GKS scholarship guide: eligibility, documents, timeline, and tips for language vs degree tracks."
d4-to-d2,Visa,Switching from D-4 to D-2 Visa in Korea,How language students transition to degree visas.,"Explain D-4 to D-2 visa change process, timing, documents, and common pitfalls for international students."
seoul-neighborhoods,Region,Best Seoul Neighborhoods for Students,Sinchon vs Hongdae vs Gangnam for students.,"Compare Sinchon, Hongdae, Gangnam, and Jamsil for student housing, commute, and lifestyle with a table."
busan-student-life,Region,Student Life in Busan: Costs and Culture,Living and studying in Busan.,"Compare Busan student life: rent, transit, beaches, language schools, and university access."
goshiwon-guide,Housing,Goshiwon Guide for Korea Students,What to expect in Korean goshiwon.,"Explain goshiwon housing: costs, contracts, pros/cons, and red flags for foreign students."
dorm-application,Housing,How to Apply for University Dormitories in Korea,Dorm priority and deadlines.,"Guide to Korean university dorm applications: deadlines, fees, roommate rules, and alternatives."
topik-study-plan,Exam,3-Month TOPIK Study Plan,Structured TOPIK prep schedule.,"Create a 12-week TOPIK study plan with weekly goals for vocabulary, grammar, reading, and listening."
topik-vs-klat,Exam,TOPIK vs KIIP: Which Do You Need?,Language requirements explained.,"Compare TOPIK, KIIP, and university-specific Korean tests for admission and visa purposes."
arc-registration,Settlement,Alien Registration Card (ARC) Guide,Step-by-step ARC application.,"Write ARC registration guide: where to go, documents, photo rules, and re-entry permit basics."
korean-bank-comparison,Settlement,KB vs Shinhan vs Woori for Students,Bank comparison for newcomers.,"Compare KB, Shinhan, and Woori bank accounts for international students in Korea."
sim-esim-korea,Settlement,SIM and eSIM Plans in Korea (2026),Mobile setup for students.,"Compare prepaid SIM, eSIM, and carrier plans (SKT, KT, LG U+) for short and long stays in Korea."
t-money-guide,Settlement,T-money and Transit in Korea,Using public transport cards.,"Explain T-money, Cashbee, and transit apps; how to recharge and save on Seoul/Busan commutes."
part-time-cafe,Part-time,Part-Time Jobs in Cafes and Stores,Common student jobs in Korea.,"List part-time job types, average wages, Korean level needed, and how to apply legally on D-2/D-4."
internship-korea,Part-time,Internships for International Students,Finding internships in Korea.,"Explain internship options, visa rules, and where to search (Saramin, university boards, LinkedIn)."
health-clinic-korea,Insurance,Using Clinics and Hospitals in Korea,Medical visit guide with phrases.,"Guide to visiting clinics in Korea: NHI copay, useful Korean phrases, emergency vs routine care."
culture-shock-korea,Culture,Culture Shocks in Korea for New Students,Social norms newcomers notice.,"List top culture shocks: age hierarchy, drinking culture, PC rooms, delivery apps, and classroom etiquette."
korean-study-apps,Preparation,Best Apps for Learning Korean Before Arrival,Pre-departure study tools.,"Recommend apps and resources for beginners before arriving in Korea (Hangul, vocab, listening)."
packing-korea,Preparation,What to Pack for Korea Study Abroad,Seasonal packing checklist.,"Create a packing checklist for Korea: documents, adapters, medicine, clothing by season."
seoul-vs-incheon,Region,Seoul vs Incheon for Language Study,City comparison near capital.,"Compare studying in Seoul proper vs Incheon: cost, schools, airport access, and commute."
daegu-study,Region,Studying in Daegu: Universities and Cost,Regional hub guide.,"Guide to studying in Daegu: major universities, lower costs, and student life."
gwangju-study,Region,Studying in Gwangju: Chonnam and Beyond,Honam region guide.,"Explain Gwangju as a study destination: Chonnam National, rent, and regional culture."
daejeon-study,Region,Studying in Daejeon: KAIST and Chungnam,Science city guide.,"Compare Daejeon universities (KAIST, Chungnam, Hoseo) and living costs."
university-english-tracks,Selection,English-Taught Programs in Korean Universities,Degrees without Korean fluency.,List types of English-taught undergraduate and graduate programs and admission requirements.
language-to-degree,Selection,Language School to University Pathway,Planning your admission timeline.,Explain typical 1-2 year language school to university pathway with TOPIK milestones.
spring-vs-fall-intake,Selection,March vs September Intake in Korea,Choosing your start term.,Compare March and September intakes for language schools and universities.
transfer-university-korea,Selection,Transferring to a Korean University,Credit transfer basics.,"Explain transfer admission requirements, credit evaluation, and language requirements."
graduate-study-korea,Selection,Graduate School in Korea for Foreigners,MA/PhD overview.,"Overview of Korean graduate programs: research vs coursework, funding, and TOPIK/English requirements."
k-pop-media-majors,Selection,K-pop and Media Programs in Korea,Specialized study tracks.,"Survey universities and programs related to K-pop, film, and media for international students."
business-ma-korea,Selection,MBA and Business Programs in Korea,Business school guide.,Compare MBA and business programs at major Korean universities for international students.
engineering-universities-korea,Selection,Top Engineering Universities in Korea,STEM study options.,"Profile top engineering schools (KAIST, POSTECH, SNU, Hanyang) for international applicants."
women-universities-korea,Selection,Women's Universities in Korea,"Ewha, Sookmyung, and others.",Guide to women's universities open to international students: programs and campus life.
national-vs-private-korea,Selection,National vs Private Universities in Korea,Tuition and reputation tradeoffs.,"Compare national and private universities on tuition, prestige, and international support."
remittance-korea,Budget,Sending Money to Korea: Wise and Banks,International transfers guide.,"Compare Wise, bank SWIFT, and other methods for tuition and living expense transfers to Korea."
monthly-budget-busan,Budget,Monthly Student Budget in Busan,Busan cost breakdown.,"Provide monthly budget table for students in Busan: rent, food, transit, phone."
monthly-budget-seoul,Budget,Monthly Student Budget in Seoul (2026),Seoul cost breakdown.,Provide detailed monthly budget for Seoul students by frugal vs comfortable lifestyle.
convenience-store-korea,Culture,Mastering Korean Convenience Stores,"CU, GS25, Emart24 guide.","Guide to Korean convenience stores: meals, bill pay, delivery pickup, and student hacks."
bicycle-korea,Culture,Cycling Rules in Korea for Students,Bike registration and safety.,"Explain bicycle rules, Ttareungi bike share, and campus cycling in Korea."
weather-korea,Preparation,Korea Seasons: What Clothes to Bring,Climate by season.,Explain Korea's four seasons and what students should prepare for summer humidity and winter cold.
lgbtq-student-korea,Culture,LGBTQ+ Student Life in Korea,Practical context for newcomers.,"Provide practical, respectful overview of LGBTQ+ student experiences and resources in major Korean cities."
